EmployeeID,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,año_x,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,año_y,JobInvolvement,PerformanceRating,año_x,Unnamed: 0,Attrition,retirementType,resignationReason,año_y
11,3.0,4.0,3.0,2015,45,Travel_Rarely,Research & Development,17,2,Medical,Male,2,Laboratory Technician,Married,79910,0.0,13,2,21.0,2,20,4,10,2015,2,3,2015,,,,,
12,3.0,4.0,3.0,2015,36,Travel_Rarely,Research & Development,28,1,Life Sciences,Male,1,Laboratory Technician,Married,33770,0.0,12,2,16.0,2,15,10,11,2015,3,3,2015,,,,,
13,4.0,1.0,3.0,2015,55,Travel_Rarely,Research & Development,14,4,Life Sciences,Female,1,Sales Executive,Single,55380,0.0,17,0,37.0,2,36,4,13,2015,3,3,2015,,,,,
14,1.0,2.0,2.0,2015,47,Non-Travel,Research & Development,1,1,Medical,Male,1,Research Scientist,Married,57620,1.0,11,2,10.0,4,10,9,9,2015,2,3,2015,2.0,Yes,Resignation,Others,2016
15,4.0,4.0,2.0,2015,28,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,1,Manufacturing Director,Married,25920,1.0,14,0,5.0,2,5,0,4,2015,3,3,2015,,,,,
16,3.0,4.0,4.0,2015,37,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,2,Healthcare Representative,Married,53460,4.0,11,0,7.0,2,5,0,1,2015,3,3,2015,,,,,
17,4.0,3.0,4.0,2015,21,Travel_Rarely,Research & Development,3,2,Life Sciences,Male,1,Laboratory Technician,Single,42130,1.0,12,3,3.0,3,3,1,0,2015,2,3,2015,,,,,
18,1.0,4.0,3.0,2015,37,Non-Travel,Research & Development,1,3,Medical,Male,2,Sales Executive,Divorced,41270,2.0,13,1,15.0,2,5,0,2,2015,3,3,2015,,,,,
19,2.0,2.0,2.0,2015,35,Travel_Rarely,Sales,7,4,Life Sciences,Male,1,Sales Representative,Divorced,24380,7.0,16,0,10.0,5,7,6,2,2015,2,3,2015,,,,,
20,1.0,1.0,3.0,2015,38,Travel_Rarely,Research & Development,8,3,Life Sciences,Female,1,Manager,Divorced,68700,1.0,11,1,8.0,5,8,7,7,2015,3,3,2015,,,,,
21,3.0,2.0,1.0,2015,26,Travel_Frequently,Research & Development,1,4,Other,Male,2,Laboratory Technician,Divorced,104470,1.0,18,0,6.0,3,6,1,4,2015,3,3,2015,,,,,
22,1.0,2.0,2.0,2015,50,Travel_Rarely,Sales,8,4,Life Sciences,Male,1,Research Scientist,Divorced,96670,3.0,23,0,28.0,2,10,1,6,2015,2,4,2015,,,,,
23,3.0,3.0,2.0,2015,53,Travel_Rarely,Research & Development,11,4,Life Sciences,Female,2,Research Scientist,Married,21480,3.0,11,0,21.0,2,5,1,3,2015,3,3,2015,,,,,
24,2.0,3.0,3.0,2015,42,Travel_Rarely,Research & Development,4,4,Life Sciences,Male,1,Manufacturing Director,Married,89260,1.0,14,0,10.0,4,20,11,6,2015,1,3,2015,,,,,
25,2.0,4.0,2.0,2015,29,Travel_Frequently,Research & Development,16,4,Medical,Male,1,Laboratory Technician,Single,65130,1.0,11,1,10.0,2,10,0,9,2015,3,3,2015,,,,,
26,2.0,4.0,3.0,2015,55,Travel_Rarely,Research & Development,1,4,Other,Female,1,Research Scientist,Married,67990,3.0,11,0,12.0,2,10,0,8,2015,3,3,2015,,,,,
27,1.0,1.0,3.0,2015,26,Travel_Frequently,Research & Development,9,3,Life Sciences,Female,1,Manager,Married,162910,1.0,22,0,5.0,3,5,3,3,2015,3,4,2015,,,,,
28,4.0,4.0,3.0,2015,37,Travel_Rarely,Sales,5,1,Marketing,Male,1,Research Scientist,Single,27050,1.0,11,0,17.0,2,17,5,7,2015,3,3,2015,,,,,
29,4.0,3.0,1.0,2015,44,Travel_Frequently,Research & Development,1,2,Medical,Male,2,Research Scientist,Divorced,103330,3.0,14,1,19.0,2,1,0,0,2015,2,3,2015,3.0,Yes,Resignation,Others,2016
30,4.0,4.0,3.0,2015,38,Travel_Rarely,Sales,2,3,Marketing,Female,1,Manager,Divorced,44480,9.0,12,0,10.0,3,2,1,2,2015,2,3,2015,,,,,
31,1.0,2.0,3.0,2015,26,Travel_Rarely,Research & Development,4,3,Medical,Male,3,Research Scientist,Divorced,68540,2.0,11,0,5.0,5,3,0,2,2015,2,3,2015,4.0,Yes,Resignation,Salary,2016
32,4.0,4.0,3.0,2015,28,Travel_Rarely,Research & Development,7,3,Other,Male,1,Human Resources,Single,96370,1.0,13,0,5.0,6,5,0,2,2015,2,3,2015,,,,,
33,3.0,1.0,3.0,2015,49,Travel_Frequently,Research & Development,1,1,Medical,Female,2,Research Scientist,Single,35910,9.0,13,0,22.0,2,3,1,2,2015,3,3,2015,,,,,
34,3.0,2.0,3.0,2015,36,Travel_Rarely,Sales,5,3,Technical Degree,Male,3,Sales Executive,Single,54050,4.0,14,0,10.0,2,8,7,7,2015,3,3,2015,,,,,
35,4.0,2.0,2.0,2015,31,Travel_Frequently,Research & Development,9,4,Medical,Male,1,Sales Executive,Divorced,46840,1.0,16,1,2.0,4,2,2,2,2015,3,3,2015,,,,,
36,4.0,4.0,3.0,2015,26,Travel_Rarely,Research & Development,8,3,Medical,Male,2,Manager,Single,157870,1.0,12,2,8.0,5,8,7,4,2015,3,3,2015,5.0,Yes,Resignation,Others,2016
37,2.0,4.0,2.0,2015,37,Travel_Frequently,Sales,9,1,Marketing,Male,1,Laboratory Technician,Married,15140,1.0,14,0,4.0,3,4,1,2,2015,3,3,2015,,,,,
38,3.0,2.0,4.0,2015,42,Travel_Frequently,Sales,2,2,Marketing,Male,3,Research Director,Married,29560,5.0,13,0,23.0,2,20,4,8,2015,3,3,2015,,,,,
39,3.0,3.0,3.0,2015,18,Travel_Rarely,Research & Development,1,4,Life Sciences,Male,1,Sales Executive,Single,23350,1.0,14,2,0.0,3,0,0,0,2015,2,3,2015,6.0,Yes,Resignation,Stress,2016
40,3.0,2.0,2.0,2015,35,Travel_Rarely,Sales,20,2,Life Sciences,Male,1,Laboratory Technician,Married,51540,0.0,19,0,12.0,2,11,6,9,2015,2,3,2015,,,,,
41,3.0,3.0,3.0,2015,36,Travel_Frequently,Research & Development,8,3,Other,Female,3,Sales Executive,Married,69620,4.0,12,2,4.0,2,1,0,0,2015,2,3,2015,,,,,
42,4.0,2.0,3.0,2015,51,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,2,Laboratory Technician,Divorced,56750,5.0,13,0,13.0,2,4,1,2,2015,2,3,2015,,,,,
43,4.0,2.0,3.0,2015,41,Travel_Rarely,Research & Development,29,1,Life Sciences,Male,1,Laboratory Technician,Single,23790,1.0,12,0,22.0,6,22,0,4,2015,3,3,2015,,,,,
44,4.0,3.0,3.0,2015,18,Travel_Rarely,Sales,7,3,Life Sciences,Male,1,Research Scientist,Single,38120,1.0,15,0,0.0,3,0,0,0,2015,3,3,2015,,,,,
45,2.0,1.0,3.0,2015,28,Travel_Rarely,Research & Development,9,3,Medical,Male,1,Sales Representative,Single,46480,0.0,23,2,9.0,2,8,0,7,2015,2,4,2015,,,,,
46,2.0,4.0,2.0,2015,31,Travel_Rarely,Research & Development,8,1,Technical Degree,Male,1,Manufacturing Director,Married,29360,4.0,12,1,10.0,2,8,7,7,2015,3,3,2015,,,,,
47,3.0,4.0,2.0,2015,39,Travel_Rarely,Sales,5,4,Marketing,Female,2,Human Resources,Divorced,21050,0.0,20,0,19.0,3,18,3,7,2015,3,4,2015,,,,,
48,2.0,2.0,3.0,2015,36,Non-Travel,Research & Development,5,4,Life Sciences,Male,1,Sales Executive,Married,85780,7.0,21,0,11.0,4,9,0,8,2015,3,4,2015,,,,,
49,4.0,3.0,2.0,2015,32,Travel_Rarely,Sales,2,3,Marketing,Male,2,Laboratory Technician,Married,27060,1.0,21,1,13.0,4,13,4,8,2015,3,4,2015,,,,,
50,1.0,2.0,3.0,2015,38,Travel_Rarely,Research & Development,5,2,Life Sciences,Female,3,Research Scientist,Married,63840,3.0,19,2,19.0,4,10,0,1,2015,2,3,2015,,,,,
51,4.0,3.0,3.0,2015,58,Non-Travel,Research & Development,2,3,Life Sciences,Male,2,Manufacturing Director,Divorced,39680,2.0,13,2,12.0,3,5,1,2,2015,2,3,2015,,,,,
52,3.0,4.0,3.0,2015,31,Travel_Rarely,Research & Development,20,1,Technical Degree,Female,3,Research Scientist,Married,99070,0.0,13,1,6.0,3,5,0,3,2015,2,3,2015,,,,,
53,1.0,1.0,3.0,2015,31,Travel_Rarely,Sales,7,4,Marketing,Male,2,Sales Executive,Married,132250,3.0,21,1,9.0,2,2,1,0,2015,3,4,2015,,,,,
54,1.0,1.0,3.0,2015,45,Travel_Frequently,Research & Development,3,1,Medical,Female,1,Sales Executive,Divorced,35400,1.0,13,0,24.0,6,24,9,11,2015,3,3,2015,,,,,
55,3.0,4.0,1.0,2015,31,Travel_Rarely,Sales,16,4,Marketing,Female,2,Research Scientist,Divorced,28040,0.0,19,2,3.0,0,2,2,2,2015,3,3,2015,,,,,
56,4.0,2.0,3.0,2015,33,Travel_Frequently,Research & Development,9,3,Life Sciences,Male,4,Research Director,Married,193920,6.0,12,1,12.0,3,10,8,8,2015,3,3,2015,,,,,
57,3.0,1.0,3.0,2015,39,Travel_Rarely,Sales,1,4,Life Sciences,Male,1,Sales Executive,Married,196650,1.0,22,1,21.0,6,21,11,10,2015,3,4,2015,,,,,
58,3.0,4.0,3.0,2015,43,Travel_Frequently,Research & Development,7,4,Medical,Male,4,Research Scientist,Single,24390,0.0,15,0,9.0,2,8,1,7,2015,3,3,2015,,,,,
59,3.0,3.0,3.0,2015,49,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,3,Manufacturing Director,Single,73140,7.0,22,0,25.0,2,7,0,7,2015,3,4,2015,,,,,
60,3.0,2.0,2.0,2015,52,Travel_Rarely,Research & Development,7,1,Life Sciences,Female,2,Research Scientist,Married,47740,2.0,18,1,11.0,2,8,7,7,2015,3,3,2015,7.0,Yes,Resignation,Others,2016
61,3.0,2.0,2.0,2015,27,Travel_Rarely,Research & Development,15,4,Medical,Male,3,Research Scientist,Single,39020,1.0,22,0,4.0,2,4,1,2,2015,3,4,2015,,,,,
62,3.0,2.0,3.0,2015,32,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,3,Research Scientist,Married,26620,1.0,11,1,13.0,6,13,11,9,2015,4,3,2015,,,,,
63,4.0,3.0,3.0,2015,27,Travel_Rarely,Research & Development,13,2,Medical,Female,4,Research Director,Single,28560,1.0,12,2,5.0,5,5,0,4,2015,4,3,2015,,,,,
64,4.0,4.0,3.0,2015,31,Travel_Rarely,Sales,24,3,Life Sciences,Male,2,Healthcare Representative,Divorced,10810,4.0,11,3,13.0,4,7,1,7,2015,4,3,2015,,,,,
65,1.0,4.0,2.0,2015,32,Travel_Rarely,Research & Development,7,3,Technical Degree,Male,2,Healthcare Representative,Single,24720,7.0,13,0,10.0,2,7,0,7,2015,3,3,2015,,,,,
66,1.0,4.0,2.0,2015,28,Travel_Rarely,Research & Development,9,4,Medical,Male,1,Sales Executive,Married,56730,5.0,14,1,5.0,4,3,2,2,2015,2,3,2015,8.0,Yes,Resignation,Salary,2016
67,4.0,4.0,3.0,2015,30,Travel_Rarely,Research & Development,13,3,Life Sciences,Female,4,Research Director,Married,41970,1.0,13,0,11.0,3,10,1,9,2015,3,3,2015,,,,,
68,3.0,3.0,3.0,2015,31,Travel_Frequently,Research & Development,2,1,Life Sciences,Female,1,Manager,Married,97130,1.0,17,0,10.0,5,10,8,9,2015,2,3,2015,,,,,
69,3.0,4.0,3.0,2015,39,Travel_Frequently,Research & Development,19,4,Medical,Female,1,Research Scientist,Married,20620,1.0,13,0,21.0,4,21,13,3,2015,3,3,2015,,,,,
70,4.0,3.0,2.0,2015,39,Travel_Rarely,Research & Development,1,1,Medical,Female,1,Laboratory Technician,Married,42840,4.0,17,1,12.0,0,1,0,0,2015,3,3,2015,9.0,Yes,Fired,desconocido,2016
71,2.0,4.0,2.0,2015,33,Travel_Frequently,Sales,4,2,Life Sciences,Male,4,Research Scientist,Single,47880,3.0,11,1,9.0,0,7,0,1,2015,3,3,2015,,,,,
72,4.0,3.0,3.0,2015,47,Travel_Rarely,Research & Development,4,3,Life Sciences,Female,2,Healthcare Representative,Married,59060,4.0,23,0,21.0,4,3,1,1,2015,4,4,2015,,,,,
73,3.0,3.0,4.0,2015,43,Travel_Frequently,Research & Development,14,3,Medical,Female,5,Research Director,Divorced,38860,1.0,17,2,9.0,2,9,0,0,2015,3,3,2015,,,,,
74,3.0,2.0,3.0,2015,27,Non-Travel,Research & Development,2,3,Life Sciences,Male,1,Research Director,Married,168230,0.0,17,0,6.0,3,5,1,4,2015,3,3,2015,,,,,
75,4.0,3.0,2.0,2015,54,Travel_Frequently,Research & Development,1,4,Life Sciences,Male,2,Research Scientist,Single,29330,3.0,12,2,20.0,2,4,0,3,2015,3,3,2015,,,,,
76,3.0,1.0,2.0,2015,43,Travel_Rarely,Research & Development,7,2,Life Sciences,Female,2,Manager,Married,65000,8.0,23,0,10.0,3,1,0,0,2015,3,4,2015,,,,,
77,4.0,4.0,3.0,2015,45,Travel_Rarely,Sales,3,1,Marketing,Female,1,Sales Executive,Married,171740,9.0,14,1,12.0,6,10,9,8,2015,3,3,2015,,,,,
78,2.0,4.0,2.0,2015,40,Travel_Rarely,Research & Development,2,4,Other,Male,4,Research Scientist,Married,50330,2.0,14,2,6.0,6,4,0,2,2015,3,3,2015,,,,,
79,2.0,1.0,2.0,2015,29,Travel_Rarely,Research & Development,29,3,Medical,Female,1,Research Scientist,Married,23070,1.0,13,1,7.0,0,7,0,7,2015,3,3,2015,10.0,Yes,Resignation,Salary,2016
80,2.0,4.0,3.0,2015,29,Travel_Rarely,Human Resources,8,3,Medical,Male,3,Sales Representative,Single,25870,0.0,22,2,4.0,3,3,2,2,2015,3,4,2015,,,,,
81,4.0,3.0,3.0,2015,30,Travel_Rarely,Research & Development,10,3,Life Sciences,Male,2,Research Scientist,Divorced,55070,1.0,12,2,10.0,2,10,1,2,2015,2,3,2015,,,,,
82,2.0,2.0,3.0,2015,27,Travel_Rarely,Research & Development,11,2,Medical,Male,1,Manager,Married,43930,1.0,18,1,8.0,2,8,0,7,2015,2,3,2015,,,,,
83,4.0,4.0,2.0,2015,37,Travel_Rarely,Sales,1,4,Life Sciences,Male,2,Healthcare Representative,Divorced,133480,7.0,14,0,8.0,4,6,0,4,2015,3,3,2015,,,,,
84,3.0,4.0,3.0,2015,38,Travel_Rarely,Research & Development,28,4,Medical,Male,1,Laboratory Technician,Divorced,65830,0.0,12,0,12.0,1,11,2,9,2015,3,3,2015,,,,,
85,3.0,4.0,3.0,2015,31,Travel_Rarely,Research & Development,6,3,Medical,Female,3,Manager,Single,81030,1.0,15,1,11.0,5,11,4,10,2015,3,3,2015,,,,,
86,4.0,2.0,3.0,2015,29,Travel_Rarely,Research & Development,3,4,Life Sciences,Male,3,Sales Executive,Divorced,39780,1.0,11,0,7.0,0,7,1,7,2015,3,3,2015,,,,,
87,3.0,2.0,3.0,2015,35,Travel_Rarely,Sales,16,2,Technical Degree,Male,3,Manager,Single,25440,0.0,13,1,17.0,3,16,0,13,2015,4,3,2015,,,,,
88,3.0,4.0,2.0,2015,23,Travel_Rarely,Research & Development,20,4,Life Sciences,Male,1,Manufacturing Director,Divorced,53990,1.0,23,0,4.0,2,4,0,2,2015,2,4,2015,,,,,
89,4.0,2.0,3.0,2015,41,Travel_Rarely,Research & Development,9,2,Life Sciences,Female,1,Laboratory Technician,Single,54870,6.0,19,2,8.0,0,5,1,2,2015,3,3,2015,,,,,
90,2.0,3.0,3.0,2015,47,Travel_Frequently,Sales,1,3,Medical,Female,2,Laboratory Technician,Single,68340,3.0,16,1,5.0,2,0,0,0,2015,4,3,2015,,,,,
91,1.0,4.0,3.0,2015,42,Travel_Rarely,Research & Development,3,4,Life Sciences,Male,1,Manager,Single,10910,2.0,22,0,16.0,0,1,0,0,2015,1,4,2015,,,,,
92,4.0,3.0,2.0,2015,29,Non-Travel,Sales,22,4,Marketing,Male,2,Human Resources,Married,57360,1.0,22,0,4.0,1,4,0,2,2015,2,4,2015,,,,,
93,3.0,3.0,3.0,2015,42,Travel_Rarely,Sales,7,4,Medical,Male,3,Research Scientist,Divorced,22260,0.0,12,1,4.0,3,3,1,0,2015,2,3,2015,,,,,
94,3.0,2.0,3.0,2015,32,Travel_Rarely,Research & Development,2,3,Medical,Male,2,Research Scientist,Married,57470,1.0,13,0,8.0,0,8,0,7,2015,3,3,2015,,,,,
95,1.0,3.0,1.0,2015,48,Travel_Rarely,Sales,13,4,Medical,Male,4,Sales Executive,Married,98540,3.0,16,1,15.0,2,0,0,0,2015,2,3,2015,,,,,
96,3.0,1.0,3.0,2015,37,Travel_Rarely,Research & Development,8,5,Technical Degree,Male,2,Manufacturing Director,Divorced,54670,4.0,12,0,13.0,2,7,6,7,2015,3,3,2015,,,,,
97,4.0,3.0,4.0,2015,30,Non-Travel,Sales,25,4,Other,Male,1,Healthcare Representative,Married,53800,7.0,21,1,4.0,0,2,2,2,2015,3,4,2015,,,,,
98,3.0,3.0,3.0,2015,26,Travel_Rarely,Sales,28,3,Medical,Female,5,Laboratory Technician,Married,51510,1.0,15,3,8.0,3,8,7,7,2015,3,3,2015,,,,,
99,1.0,4.0,3.0,2015,42,Travel_Rarely,Sales,2,2,Medical,Female,1,Laboratory Technician,Single,21330,3.0,13,2,14.0,2,1,0,0,2015,3,3,2015,,,,,
100,1.0,2.0,3.0,2015,21,Travel_Frequently,Research & Development,9,3,Medical,Female,4,Manufacturing Director,Single,178750,1.0,12,0,3.0,5,3,1,2,2015,2,3,2015,11.0,Yes,Resignation,Others,2016
101,4.0,4.0,3.0,2015,36,Non-Travel,Human Resources,28,3,Human Resources,Male,2,Laboratory Technician,Single,24320,4.0,22,0,7.0,4,1,0,0,2015,1,4,2015,,,,,
102,1.0,4.0,3.0,2015,36,Travel_Frequently,Research & Development,6,3,Life Sciences,Female,2,Research Scientist,Married,47710,4.0,13,1,16.0,2,13,1,12,2015,3,3,2015,,,,,
103,4.0,3.0,3.0,2015,57,Travel_Rarely,Research & Development,21,4,Life Sciences,Male,5,Research Scientist,Married,191610,2.0,18,0,15.0,2,3,1,2,2015,1,3,2015,,,,,
104,4.0,3.0,3.0,2015,40,Travel_Rarely,Research & Development,8,3,Other,Male,2,Sales Executive,Married,50870,3.0,14,1,10.0,3,7,1,7,2015,3,3,2015,,,,,
105,1.0,4.0,2.0,2015,21,Non-Travel,Research & Development,1,5,Life Sciences,Female,2,Manager,Single,28630,1.0,14,0,3.0,2,3,2,2,2015,1,3,2015,,,,,
106,4.0,3.0,3.0,2015,33,Travel_Rarely,Human Resources,28,2,Human Resources,Female,5,Manager,Single,55610,1.0,21,1,1.0,3,1,0,0,2015,1,4,2015,12.0,Yes,Resignation,Salary,2016
107,3.0,1.0,3.0,2015,37,Travel_Rarely,Research & Development,5,3,Life Sciences,Male,4,Research Scientist,Married,21440,6.0,19,0,17.0,3,5,0,3,2015,4,3,2015,,,,,
108,3.0,3.0,4.0,2015,46,Non-Travel,Sales,2,4,Marketing,Female,2,Laboratory Technician,Married,30650,2.0,11,0,7.0,3,1,0,0,2015,3,3,2015,,,,,
109,1.0,2.0,3.0,2015,41,Travel_Frequently,Research & Development,16,1,Medical,Female,1,Research Scientist,Single,28100,1.0,11,0,8.0,3,8,7,7,2015,4,3,2015,13.0,Yes,Resignation,Others,2016
110,4.0,4.0,3.0,2015,50,Travel_Rarely,Research & Development,9,3,Medical,Female,3,Laboratory Technician,Single,98880,6.0,15,0,20.0,2,4,1,3,2015,3,3,2015,,,,,
111,3.0,3.0,3.0,2015,40,Travel_Rarely,Research & Development,8,3,Medical,Female,1,Healthcare Representative,Married,86280,2.0,20,0,8.0,2,6,1,0,2015,2,4,2015,14.0,Yes,Resignation,Stress,2016
112,3.0,2.0,3.0,2015,31,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,4,Human Resources,Single,28670,0.0,24,0,3.0,5,2,2,2,2015,3,4,2015,,,,,
113,3.0,2.0,3.0,2015,21,Travel_Rarely,Human Resources,10,2,Human Resources,Male,1,Laboratory Technician,Single,53730,1.0,12,1,1.0,2,1,0,0,2015,3,3,2015,15.0,Yes,Resignation,Others,2016
114,4.0,4.0,3.0,2015,29,Travel_Rarely,Research & Development,1,3,Life Sciences,Female,2,Research Director,Single,66670,9.0,12,1,6.0,6,3,1,2,2015,4,3,2015,,,,,
115,3.0,2.0,3.0,2015,35,Travel_Rarely,Research & Development,29,3,Life Sciences,Female,3,Sales Executive,Single,50030,9.0,15,0,10.0,2,1,0,0,2015,3,3,2015,,,,,
116,4.0,2.0,3.0,2015,27,Travel_Rarely,Sales,2,3,Life Sciences,Male,1,Sales Executive,Divorced,23670,1.0,12,1,5.0,2,5,0,4,2015,3,3,2015,,,,,
117,2.0,4.0,3.0,2015,28,Travel_Rarely,Research & Development,2,2,Medical,Male,3,Manager,Single,28580,1.0,12,0,7.0,2,7,0,7,2015,2,3,2015,,,,,
118,2.0,3.0,3.0,2015,49,Travel_Rarely,Sales,2,3,Technical Degree,Male,2,Manufacturing Director,Single,52040,8.0,14,1,26.0,3,5,0,0,2015,3,3,2015,,,,,
119,3.0,4.0,2.0,2015,51,Travel_Rarely,Research & Development,1,2,Life Sciences,Male,1,Sales Executive,Married,41050,4.0,22,1,18.0,2,7,0,7,2015,3,4,2015,,,,,
120,4.0,3.0,3.0,2015,36,Travel_Rarely,Sales,15,2,Life Sciences,Male,1,Sales Executive,Married,96790,4.0,12,0,6.0,1,2,2,2,2015,3,3,2015,,,,,
121,1.0,4.0,2.0,2015,34,Non-Travel,Research & Development,7,3,Life Sciences,Male,1,Sales Representative,Single,56170,8.0,25,1,9.0,3,5,0,4,2015,3,4,2015,16.0,Yes,Fired,desconocido,2016
122,3.0,4.0,3.0,2015,55,Travel_Rarely,Sales,26,3,Marketing,Male,1,Laboratory Technician,Single,104480,2.0,13,0,30.0,3,5,1,2,2015,3,3,2015,,,,,
123,4.0,3.0,4.0,2015,24,Travel_Rarely,Research & Development,1,3,Life Sciences,Female,5,Manager,Divorced,28970,1.0,18,3,5.0,4,5,0,3,2015,3,3,2015,,,,,
124,3.0,2.0,3.0,2015,30,Travel_Rarely,Research & Development,3,3,Life Sciences,Female,2,Manager,Married,59680,1.0,13,0,1.0,3,1,0,0,2015,3,3,2015,,,,,
125,3.0,3.0,3.0,2015,26,Travel_Frequently,Sales,14,3,Life Sciences,Male,2,Manager,Single,75100,0.0,18,3,7.0,3,6,0,4,2015,3,3,2015,17.0,Yes,Resignation,Stress,2016
126,1.0,2.0,3.0,2015,22,Travel_Rarely,Research & Development,16,5,Other,Male,1,Research Scientist,Married,29910,1.0,19,2,2.0,3,2,1,2,2015,2,3,2015,,,,,
127,2.0,3.0,3.0,2015,36,Travel_Rarely,Research & Development,1,3,Medical,Female,5,Healthcare Representative,Married,196360,1.0,12,1,10.0,3,10,9,0,2015,3,3,2015,,,,,
128,3.0,4.0,3.0,2015,30,Travel_Frequently,Sales,3,2,Marketing,Male,3,Research Scientist,Single,11290,9.0,19,0,3.0,2,1,0,0,2015,2,3,2015,18.0,Yes,Resignation,Others,2016
129,4.0,1.0,2.0,2015,37,Travel_Rarely,Research & Development,10,1,Technical Degree,Male,1,Sales Executive,Divorced,133410,1.0,14,1,18.0,3,18,12,17,2015,3,3,2015,,,,,
130,4.0,2.0,3.0,2015,40,Travel_Rarely,Research & Development,6,2,Medical,Male,3,Research Scientist,Divorced,43320,7.0,14,2,8.0,3,5,1,3,2015,2,3,2015,,,,,
131,2.0,1.0,3.0,2015,42,Travel_Rarely,Research & Development,2,3,Medical,Female,4,Manager,Divorced,110310,3.0,12,1,8.0,2,5,1,2,2015,2,3,2015,,,,,
132,3.0,2.0,2.0,2015,37,Travel_Rarely,Sales,9,1,Marketing,Male,3,Sales Executive,Single,44400,2.0,11,1,18.0,3,1,0,1,2015,2,3,2015,,,,,
133,1.0,2.0,3.0,2015,43,Travel_Rarely,Sales,10,2,Life Sciences,Female,1,Sales Executive,Divorced,46170,1.0,11,0,25.0,2,25,3,9,2015,3,3,2015,,,,,
134,2.0,3.0,3.0,2015,40,Travel_Rarely,Sales,6,2,Life Sciences,Female,1,Laboratory Technician,Married,26470,6.0,13,0,20.0,2,1,0,0,2015,2,3,2015,,,,,
135,1.0,1.0,2.0,2015,54,Travel_Rarely,Human Resources,9,3,Life Sciences,Female,2,Manufacturing Director,Married,63230,4.0,23,1,24.0,2,4,1,2,2015,2,4,2015,,,,,
136,3.0,3.0,3.0,2015,34,Non-Travel,Research & Development,28,3,Medical,Male,1,Laboratory Technician,Married,56770,9.0,20,1,6.0,3,3,1,2,2015,3,4,2015,,,,,
137,2.0,1.0,1.0,2015,31,Travel_Rarely,Research & Development,10,4,Life Sciences,Male,3,Sales Executive,Married,21870,1.0,15,1,13.0,2,13,3,12,2015,2,3,2015,,,,,
