EmployeeID,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,Attrition
39,3.0,3.0,3.0,18,Travel_Rarely,Research & Development,1,4,Life Sciences,Male,1,Sales Executive,Single,23350,1.0,14,2,0.0,3,0,0,0,2,3,Yes
40,3.0,2.0,2.0,35,Travel_Rarely,Sales,20,2,Life Sciences,Male,1,Laboratory Technician,Married,51540,0.0,19,0,12.0,2,11,6,9,2,3,No
41,3.0,3.0,3.0,36,Travel_Frequently,Research & Development,8,3,Other,Female,3,Sales Executive,Married,69620,4.0,12,2,4.0,2,1,0,0,2,3,No
42,4.0,2.0,3.0,51,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,2,Laboratory Technician,Divorced,56750,5.0,13,0,13.0,2,4,1,2,2,3,No
43,4.0,2.0,3.0,41,Travel_Rarely,Research & Development,29,1,Life Sciences,Male,1,Laboratory Technician,Single,23790,1.0,12,0,22.0,6,22,0,4,3,3,No
44,4.0,3.0,3.0,18,Travel_Rarely,Sales,7,3,Life Sciences,Male,1,Research Scientist,Single,38120,1.0,15,0,0.0,3,0,0,0,3,3,No
45,2.0,1.0,3.0,28,Travel_Rarely,Research & Development,9,3,Medical,Male,1,Sales Representative,Single,46480,0.0,23,2,9.0,2,8,0,7,2,4,No
46,2.0,4.0,2.0,31,Travel_Rarely,Research & Development,8,1,Technical Degree,Male,1,Manufacturing Director,Married,29360,4.0,12,1,10.0,2,8,7,7,3,3,No
47,3.0,4.0,2.0,39,Travel_Rarely,Sales,5,4,Marketing,Female,2,Human Resources,Divorced,21050,0.0,20,0,19.0,3,18,3,7,3,4,No
48,2.0,2.0,3.0,36,Non-Travel,Research & Development,5,4,Life Sciences,Male,1,Sales Executive,Married,85780,7.0,21,0,11.0,4,9,0,8,3,4,No
49,4.0,3.0,2.0,32,Travel_Rarely,Sales,2,3,Marketing,Male,2,Laboratory Technician,Married,27060,1.0,21,1,13.0,4,13,4,8,3,4,No
50,1.0,2.0,3.0,38,Travel_Rarely,Research & Development,5,2,Life Sciences,Female,3,Research Scientist,Married,63840,3.0,19,2,19.0,4,10,0,1,2,3,No
51,4.0,3.0,3.0,58,Non-Travel,Research & Development,2,3,Life Sciences,Male,2,Manufacturing Director,Divorced,39680,2.0,13,2,12.0,3,5,1,2,2,3,No
52,3.0,4.0,3.0,31,Travel_Rarely,Research & Development,20,1,Technical Degree,Female,3,Research Scientist,Married,99070,0.0,13,1,6.0,3,5,0,3,2,3,No
53,1.0,1.0,3.0,31,Travel_Rarely,Sales,7,4,Marketing,Male,2,Sales Executive,Married,132250,3.0,21,1,9.0,2,2,1,0,3,4,No
54,1.0,1.0,3.0,45,Travel_Frequently,Research & Development,3,1,Medical,Female,1,Sales Executive,Divorced,35400,1.0,13,0,24.0,6,24,9,11,3,3,No
55,3.0,4.0,1.0,31,Travel_Rarely,Sales,16,4,Marketing,Female,2,Research Scientist,Divorced,28040,0.0,19,2,3.0,0,2,2,2,3,3,No
56,4.0,2.0,3.0,33,Travel_Frequently,Research & Development,9,3,Life Sciences,Male,4,Research Director,Married,193920,6.0,12,1,12.0,3,10,8,8,3,3,No
57,3.0,1.0,3.0,39,Travel_Rarely,Sales,1,4,Life Sciences,Male,1,Sales Executive,Married,196650,1.0,22,1,21.0,6,21,11,10,3,4,No
58,3.0,4.0,3.0,43,Travel_Frequently,Research & Development,7,4,Medical,Male,4,Research Scientist,Single,24390,0.0,15,0,9.0,2,8,1,7,3,3,No
59,3.0,3.0,3.0,49,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,3,Manufacturing Director,Single,73140,7.0,22,0,25.0,2,7,0,7,3,4,No
60,3.0,2.0,2.0,52,Travel_Rarely,Research & Development,7,1,Life Sciences,Female,2,Research Scientist,Married,47740,2.0,18,1,11.0,2,8,7,7,3,3,Yes
61,3.0,2.0,2.0,27,Travel_Rarely,Research & Development,15,4,Medical,Male,3,Research Scientist,Single,39020,1.0,22,0,4.0,2,4,1,2,3,4,No
62,3.0,2.0,3.0,32,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,3,Research Scientist,Married,26620,1.0,11,1,13.0,6,13,11,9,4,3,No
63,4.0,3.0,3.0,27,Travel_Rarely,Research & Development,13,2,Medical,Female,4,Research Director,Single,28560,1.0,12,2,5.0,5,5,0,4,4,3,No
64,4.0,4.0,3.0,31,Travel_Rarely,Sales,24,3,Life Sciences,Male,2,Healthcare Representative,Divorced,10810,4.0,11,3,13.0,4,7,1,7,4,3,No
65,1.0,4.0,2.0,32,Travel_Rarely,Research & Development,7,3,Technical Degree,Male,2,Healthcare Representative,Single,24720,7.0,13,0,10.0,2,7,0,7,3,3,No
66,1.0,4.0,2.0,28,Travel_Rarely,Research & Development,9,4,Medical,Male,1,Sales Executive,Married,56730,5.0,14,1,5.0,4,3,2,2,2,3,Yes
67,4.0,4.0,3.0,30,Travel_Rarely,Research & Development,13,3,Life Sciences,Female,4,Research Director,Married,41970,1.0,13,0,11.0,3,10,1,9,3,3,No
68,3.0,3.0,3.0,31,Travel_Frequently,Research & Development,2,1,Life Sciences,Female,1,Manager,Married,97130,1.0,17,0,10.0,5,10,8,9,2,3,No
69,3.0,4.0,3.0,39,Travel_Frequently,Research & Development,19,4,Medical,Female,1,Research Scientist,Married,20620,1.0,13,0,21.0,4,21,13,3,3,3,No
71,2.0,4.0,2.0,33,Travel_Frequently,Sales,4,2,Life Sciences,Male,4,Research Scientist,Single,47880,3.0,11,1,9.0,0,7,0,1,3,3,No
72,4.0,3.0,3.0,47,Travel_Rarely,Research & Development,4,3,Life Sciences,Female,2,Healthcare Representative,Married,59060,4.0,23,0,21.0,4,3,1,1,4,4,No
73,3.0,3.0,4.0,43,Travel_Frequently,Research & Development,14,3,Medical,Female,5,Research Director,Divorced,38860,1.0,17,2,9.0,2,9,0,0,3,3,No
74,3.0,2.0,3.0,27,Non-Travel,Research & Development,2,3,Life Sciences,Male,1,Research Director,Married,168230,0.0,17,0,6.0,3,5,1,4,3,3,No
75,4.0,3.0,2.0,54,Travel_Frequently,Research & Development,1,4,Life Sciences,Male,2,Research Scientist,Single,29330,3.0,12,2,20.0,2,4,0,3,3,3,No
76,3.0,1.0,2.0,43,Travel_Rarely,Research & Development,7,2,Life Sciences,Female,2,Manager,Married,65000,8.0,23,0,10.0,3,1,0,0,3,4,No
77,4.0,4.0,3.0,45,Travel_Rarely,Sales,3,1,Marketing,Female,1,Sales Executive,Married,171740,9.0,14,1,12.0,6,10,9,8,3,3,No
78,2.0,4.0,2.0,40,Travel_Rarely,Research & Development,2,4,Other,Male,4,Research Scientist,Married,50330,2.0,14,2,6.0,6,4,0,2,3,3,No
79,2.0,1.0,2.0,29,Travel_Rarely,Research & Development,29,3,Medical,Female,1,Research Scientist,Married,23070,1.0,13,1,7.0,0,7,0,7,3,3,Yes
80,2.0,4.0,3.0,29,Travel_Rarely,Human Resources,8,3,Medical,Male,3,Sales Representative,Single,25870,0.0,22,2,4.0,3,3,2,2,3,4,No
81,4.0,3.0,3.0,30,Travel_Rarely,Research & Development,10,3,Life Sciences,Male,2,Research Scientist,Divorced,55070,1.0,12,2,10.0,2,10,1,2,2,3,No
82,2.0,2.0,3.0,27,Travel_Rarely,Research & Development,11,2,Medical,Male,1,Manager,Married,43930,1.0,18,1,8.0,2,8,0,7,2,3,No
83,4.0,4.0,2.0,37,Travel_Rarely,Sales,1,4,Life Sciences,Male,2,Healthcare Representative,Divorced,133480,7.0,14,0,8.0,4,6,0,4,3,3,No
84,3.0,4.0,3.0,38,Travel_Rarely,Research & Development,28,4,Medical,Male,1,Laboratory Technician,Divorced,65830,0.0,12,0,12.0,1,11,2,9,3,3,No
85,3.0,4.0,3.0,31,Travel_Rarely,Research & Development,6,3,Medical,Female,3,Manager,Single,81030,1.0,15,1,11.0,5,11,4,10,3,3,No
86,4.0,2.0,3.0,29,Travel_Rarely,Research & Development,3,4,Life Sciences,Male,3,Sales Executive,Divorced,39780,1.0,11,0,7.0,0,7,1,7,3,3,No
87,3.0,2.0,3.0,35,Travel_Rarely,Sales,16,2,Technical Degree,Male,3,Manager,Single,25440,0.0,13,1,17.0,3,16,0,13,4,3,No
88,3.0,4.0,2.0,23,Travel_Rarely,Research & Development,20,4,Life Sciences,Male,1,Manufacturing Director,Divorced,53990,1.0,23,0,4.0,2,4,0,2,2,4,No
89,4.0,2.0,3.0,41,Travel_Rarely,Research & Development,9,2,Life Sciences,Female,1,Laboratory Technician,Single,54870,6.0,19,2,8.0,0,5,1,2,3,3,No
90,2.0,3.0,3.0,47,Travel_Frequently,Sales,1,3,Medical,Female,2,Laboratory Technician,Single,68340,3.0,16,1,5.0,2,0,0,0,4,3,No
91,1.0,4.0,3.0,42,Travel_Rarely,Research & Development,3,4,Life Sciences,Male,1,Manager,Single,10910,2.0,22,0,16.0,0,1,0,0,1,4,No
92,4.0,3.0,2.0,29,Non-Travel,Sales,22,4,Marketing,Male,2,Human Resources,Married,57360,1.0,22,0,4.0,1,4,0,2,2,4,No
93,3.0,3.0,3.0,42,Travel_Rarely,Sales,7,4,Medical,Male,3,Research Scientist,Divorced,22260,0.0,12,1,4.0,3,3,1,0,2,3,No
94,3.0,2.0,3.0,32,Travel_Rarely,Research & Development,2,3,Medical,Male,2,Research Scientist,Married,57470,1.0,13,0,8.0,0,8,0,7,3,3,No
95,1.0,3.0,1.0,48,Travel_Rarely,Sales,13,4,Medical,Male,4,Sales Executive,Married,98540,3.0,16,1,15.0,2,0,0,0,2,3,No
96,3.0,1.0,3.0,37,Travel_Rarely,Research & Development,8,5,Technical Degree,Male,2,Manufacturing Director,Divorced,54670,4.0,12,0,13.0,2,7,6,7,3,3,No
97,4.0,3.0,4.0,30,Non-Travel,Sales,25,4,Other,Male,1,Healthcare Representative,Married,53800,7.0,21,1,4.0,0,2,2,2,3,4,No
98,3.0,3.0,3.0,26,Travel_Rarely,Sales,28,3,Medical,Female,5,Laboratory Technician,Married,51510,1.0,15,3,8.0,3,8,7,7,3,3,No
99,1.0,4.0,3.0,42,Travel_Rarely,Sales,2,2,Medical,Female,1,Laboratory Technician,Single,21330,3.0,13,2,14.0,2,1,0,0,3,3,No
100,1.0,2.0,3.0,21,Travel_Frequently,Research & Development,9,3,Medical,Female,4,Manufacturing Director,Single,178750,1.0,12,0,3.0,5,3,1,2,2,3,Yes
101,4.0,4.0,3.0,36,Non-Travel,Human Resources,28,3,Human Resources,Male,2,Laboratory Technician,Single,24320,4.0,22,0,7.0,4,1,0,0,1,4,No
102,1.0,4.0,3.0,36,Travel_Frequently,Research & Development,6,3,Life Sciences,Female,2,Research Scientist,Married,47710,4.0,13,1,16.0,2,13,1,12,3,3,No
103,4.0,3.0,3.0,57,Travel_Rarely,Research & Development,21,4,Life Sciences,Male,5,Research Scientist,Married,191610,2.0,18,0,15.0,2,3,1,2,1,3,No
104,4.0,3.0,3.0,40,Travel_Rarely,Research & Development,8,3,Other,Male,2,Sales Executive,Married,50870,3.0,14,1,10.0,3,7,1,7,3,3,No
105,1.0,4.0,2.0,21,Non-Travel,Research & Development,1,5,Life Sciences,Female,2,Manager,Single,28630,1.0,14,0,3.0,2,3,2,2,1,3,No
106,4.0,3.0,3.0,33,Travel_Rarely,Human Resources,28,2,Human Resources,Female,5,Manager,Single,55610,1.0,21,1,1.0,3,1,0,0,1,4,Yes
107,3.0,1.0,3.0,37,Travel_Rarely,Research & Development,5,3,Life Sciences,Male,4,Research Scientist,Married,21440,6.0,19,0,17.0,3,5,0,3,4,3,No
108,3.0,3.0,4.0,46,Non-Travel,Sales,2,4,Marketing,Female,2,Laboratory Technician,Married,30650,2.0,11,0,7.0,3,1,0,0,3,3,No
109,1.0,2.0,3.0,41,Travel_Frequently,Research & Development,16,1,Medical,Female,1,Research Scientist,Single,28100,1.0,11,0,8.0,3,8,7,7,4,3,Yes
110,4.0,4.0,3.0,50,Travel_Rarely,Research & Development,9,3,Medical,Female,3,Laboratory Technician,Single,98880,6.0,15,0,20.0,2,4,1,3,3,3,No
111,3.0,3.0,3.0,40,Travel_Rarely,Research & Development,8,3,Medical,Female,1,Healthcare Representative,Married,86280,2.0,20,0,8.0,2,6,1,0,2,4,Yes
112,3.0,2.0,3.0,31,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,4,Human Resources,Single,28670,0.0,24,0,3.0,5,2,2,2,3,4,No
113,3.0,2.0,3.0,21,Travel_Rarely,Human Resources,10,2,Human Resources,Male,1,Laboratory Technician,Single,53730,1.0,12,1,1.0,2,1,0,0,3,3,Yes
114,4.0,4.0,3.0,29,Travel_Rarely,Research & Development,1,3,Life Sciences,Female,2,Research Director,Single,66670,9.0,12,1,6.0,6,3,1,2,4,3,No
115,3.0,2.0,3.0,35,Travel_Rarely,Research & Development,29,3,Life Sciences,Female,3,Sales Executive,Single,50030,9.0,15,0,10.0,2,1,0,0,3,3,No
116,4.0,2.0,3.0,27,Travel_Rarely,Sales,2,3,Life Sciences,Male,1,Sales Executive,Divorced,23670,1.0,12,1,5.0,2,5,0,4,3,3,No
117,2.0,4.0,3.0,28,Travel_Rarely,Research & Development,2,2,Medical,Male,3,Manager,Single,28580,1.0,12,0,7.0,2,7,0,7,2,3,No
118,2.0,3.0,3.0,49,Travel_Rarely,Sales,2,3,Technical Degree,Male,2,Manufacturing Director,Single,52040,8.0,14,1,26.0,3,5,0,0,3,3,No
119,3.0,4.0,2.0,51,Travel_Rarely,Research & Development,1,2,Life Sciences,Male,1,Sales Executive,Married,41050,4.0,22,1,18.0,2,7,0,7,3,4,No
120,4.0,3.0,3.0,36,Travel_Rarely,Sales,15,2,Life Sciences,Male,1,Sales Executive,Married,96790,4.0,12,0,6.0,1,2,2,2,3,3,No
122,3.0,4.0,3.0,55,Travel_Rarely,Sales,26,3,Marketing,Male,1,Laboratory Technician,Single,104480,2.0,13,0,30.0,3,5,1,2,3,3,No
123,4.0,3.0,4.0,24,Travel_Rarely,Research & Development,1,3,Life Sciences,Female,5,Manager,Divorced,28970,1.0,18,3,5.0,4,5,0,3,3,3,No
124,3.0,2.0,3.0,30,Travel_Rarely,Research & Development,3,3,Life Sciences,Female,2,Manager,Married,59680,1.0,13,0,1.0,3,1,0,0,3,3,No
125,3.0,3.0,3.0,26,Travel_Frequently,Sales,14,3,Life Sciences,Male,2,Manager,Single,75100,0.0,18,3,7.0,3,6,0,4,3,3,Yes
126,1.0,2.0,3.0,22,Travel_Rarely,Research & Development,16,5,Other,Male,1,Research Scientist,Married,29910,1.0,19,2,2.0,3,2,1,2,2,3,No
127,2.0,3.0,3.0,36,Travel_Rarely,Research & Development,1,3,Medical,Female,5,Healthcare Representative,Married,196360,1.0,12,1,10.0,3,10,9,0,3,3,No
128,3.0,4.0,3.0,30,Travel_Frequently,Sales,3,2,Marketing,Male,3,Research Scientist,Single,11290,9.0,19,0,3.0,2,1,0,0,2,3,Yes
129,4.0,1.0,2.0,37,Travel_Rarely,Research & Development,10,1,Technical Degree,Male,1,Sales Executive,Divorced,133410,1.0,14,1,18.0,3,18,12,17,3,3,No
130,4.0,2.0,3.0,40,Travel_Rarely,Research & Development,6,2,Medical,Male,3,Research Scientist,Divorced,43320,7.0,14,2,8.0,3,5,1,3,2,3,No
131,2.0,1.0,3.0,42,Travel_Rarely,Research & Development,2,3,Medical,Female,4,Manager,Divorced,110310,3.0,12,1,8.0,2,5,1,2,2,3,No
132,3.0,2.0,2.0,37,Travel_Rarely,Sales,9,1,Marketing,Male,3,Sales Executive,Single,44400,2.0,11,1,18.0,3,1,0,1,2,3,No
133,1.0,2.0,3.0,43,Travel_Rarely,Sales,10,2,Life Sciences,Female,1,Sales Executive,Divorced,46170,1.0,11,0,25.0,2,25,3,9,3,3,No
134,2.0,3.0,3.0,40,Travel_Rarely,Sales,6,2,Life Sciences,Female,1,Laboratory Technician,Married,26470,6.0,13,0,20.0,2,1,0,0,2,3,No
135,1.0,1.0,2.0,54,Travel_Rarely,Human Resources,9,3,Life Sciences,Female,2,Manufacturing Director,Married,63230,4.0,23,1,24.0,2,4,1,2,2,4,No
136,3.0,3.0,3.0,34,Non-Travel,Research & Development,28,3,Medical,Male,1,Laboratory Technician,Married,56770,9.0,20,1,6.0,3,3,1,2,3,4,No
137,2.0,1.0,1.0,31,Travel_Rarely,Research & Development,10,4,Life Sciences,Male,3,Sales Executive,Married,21870,1.0,15,1,13.0,2,13,3,12,2,3,No
138,4.0,4.0,3.0,43,Travel_Frequently,Sales,14,3,Life Sciences,Female,1,Manufacturing Director,Married,37480,7.0,14,2,10.0,3,3,1,2,2,3,No
139,3.0,3.0,3.0,43,Travel_Rarely,Sales,27,4,Life Sciences,Male,2,Sales Representative,Divorced,39770,4.0,18,1,8.0,3,5,0,2,3,3,No
140,2.0,4.0,3.0,25,Travel_Rarely,Human Resources,7,2,Human Resources,Male,1,Manufacturing Director,Single,86330,1.0,19,1,5.0,2,5,1,3,4,3,No
141,2.0,3.0,3.0,37,Non-Travel,Research & Development,1,3,Medical,Male,3,Laboratory Technician,Married,20080,3.0,22,0,15.0,5,13,10,7,2,4,No
142,4.0,1.0,3.0,31,Travel_Rarely,Research & Development,24,1,Medical,Male,3,Laboratory Technician,Married,44400,1.0,13,1,4.0,2,4,3,2,3,3,No
143,2.0,3.0,3.0,39,Travel_Frequently,Research & Development,26,4,Technical Degree,Female,1,Sales Executive,Divorced,30670,1.0,20,1,21.0,5,21,1,6,1,4,No
144,3.0,1.0,2.0,56,Travel_Frequently,Research & Development,20,4,Life Sciences,Female,3,Sales Executive,Married,53210,9.0,14,0,36.0,1,7,7,7,3,3,No
145,2.0,3.0,3.0,30,Travel_Rarely,Sales,5,4,Medical,Female,2,Manufacturing Director,Single,54100,0.0,17,1,6.0,2,5,4,4,3,3,No
146,2.0,1.0,3.0,41,Travel_Rarely,Research & Development,7,3,Technical Degree,Female,3,Research Scientist,Married,27820,1.0,14,0,10.0,2,10,0,7,2,3,No
147,3.0,1.0,3.0,28,Travel_Rarely,Research & Development,7,3,Medical,Male,3,Healthcare Representative,Divorced,119570,1.0,13,0,10.0,2,10,1,8,2,3,No
148,1.0,1.0,3.0,25,Travel_Rarely,Research & Development,5,2,Life Sciences,Female,3,Laboratory Technician,Married,26600,5.0,13,0,6.0,3,2,0,2,3,3,Yes
149,4.0,3.0,3.0,52,Travel_Rarely,Research & Development,26,2,Life Sciences,Female,2,Sales Representative,Married,33750,2.0,21,0,28.0,2,5,0,4,2,4,No
150,1.0,4.0,2.0,45,Travel_Rarely,Research & Development,2,3,Medical,Female,1,Sales Executive,Married,50980,3.0,14,1,8.0,4,2,0,2,3,3,No
151,4.0,4.0,1.0,52,Travel_Rarely,Research & Development,12,3,Medical,Male,2,Research Scientist,Married,48780,2.0,11,1,31.0,3,5,1,4,3,3,No
152,1.0,3.0,3.0,42,Travel_Frequently,Sales,10,3,Marketing,Female,2,Healthcare Representative,Divorced,28370,2.0,13,1,19.0,0,5,0,2,2,3,No
153,3.0,4.0,3.0,30,Travel_Rarely,Sales,25,3,Marketing,Male,1,Sales Executive,Single,24060,2.0,20,1,11.0,5,5,0,2,3,4,No
154,1.0,1.0,1.0,60,Travel_Rarely,Research & Development,10,3,Life Sciences,Female,1,Manufacturing Director,Married,22690,5.0,18,1,33.0,4,29,11,10,3,3,No
155,3.0,3.0,2.0,46,Travel_Rarely,Sales,19,4,Marketing,Female,1,Sales Executive,Divorced,41080,2.0,14,0,19.0,5,10,0,8,2,3,No
156,4.0,4.0,4.0,42,Travel_Frequently,Research & Development,18,4,Technical Degree,Male,4,Sales Executive,Married,132060,0.0,13,2,7.0,2,6,0,4,3,3,No
157,1.0,2.0,3.0,24,Travel_Rarely,Research & Development,27,2,Medical,Male,1,Research Scientist,Single,104220,1.0,17,1,6.0,0,5,1,4,2,3,Yes
158,4.0,3.0,2.0,34,Travel_Frequently,Research & Development,5,3,Medical,Male,2,Research Scientist,Divorced,137440,0.0,20,1,3.0,3,2,1,0,3,4,Yes
159,4.0,4.0,3.0,38,Travel_Frequently,Sales,3,3,Marketing,Female,2,Sales Executive,Married,49070,1.0,11,1,1.0,3,1,0,0,3,3,No
160,3.0,3.0,3.0,40,Travel_Rarely,Sales,26,4,Marketing,Female,1,Sales Executive,Married,34820,0.0,18,1,21.0,2,20,1,12,2,3,No
161,1.0,4.0,1.0,26,Travel_Rarely,Research & Development,3,2,Medical,Female,4,Healthcare Representative,Divorced,24360,1.0,24,0,3.0,2,3,0,2,4,4,No
162,3.0,4.0,1.0,30,Non-Travel,Research & Development,15,3,Medical,Female,2,Sales Executive,Married,23800,4.0,18,3,9.0,2,5,1,4,2,3,No
