EmployeeID,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TrainingTimesLastYear,YearsAtCompany,JobInvolvement,PerformanceRating,Attrition
16,3,4,4,37,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,2,Healthcare Representative,Married,53460,4,11,0,2,5,3,3,0
17,4,3,4,21,Travel_Rarely,Research & Development,3,2,Life Sciences,Male,1,Laboratory Technician,Single,42130,1,12,3,3,3,2,3,0
18,1,4,3,37,Non-Travel,Research & Development,1,3,Medical,Male,2,Sales Executive,Divorced,41270,2,13,1,2,5,3,3,0
19,2,2,2,35,Travel_Rarely,Sales,7,4,Life Sciences,Male,1,Sales Representative,Divorced,24380,7,16,0,5,7,2,3,0
20,1,1,3,38,Travel_Rarely,Research & Development,8,3,Life Sciences,Female,1,Manager,Divorced,68700,1,11,1,5,8,3,3,0
21,3,2,1,26,Travel_Frequently,Research & Development,1,4,Other,Male,2,Laboratory Technician,Divorced,104470,1,18,0,3,6,3,3,0
22,1,2,2,50,Travel_Rarely,Sales,8,4,Life Sciences,Male,1,Research Scientist,Divorced,96670,3,23,0,2,10,2,4,0
23,3,3,2,53,Travel_Rarely,Research & Development,11,4,Life Sciences,Female,2,Research Scientist,Married,21480,3,11,0,2,5,3,3,0
24,2,3,3,42,Travel_Rarely,Research & Development,4,4,Life Sciences,Male,1,Manufacturing Director,Married,89260,1,14,0,4,20,1,3,0
25,2,4,2,29,Travel_Frequently,Research & Development,16,4,Medical,Male,1,Laboratory Technician,Single,65130,1,11,1,2,10,3,3,0
26,2,4,3,55,Travel_Rarely,Research & Development,1,4,Other,Female,1,Research Scientist,Married,67990,3,11,0,2,10,3,3,0
27,1,1,3,26,Travel_Frequently,Research & Development,9,3,Life Sciences,Female,1,Manager,Married,162910,1,22,0,3,5,3,4,0
28,4,4,3,37,Travel_Rarely,Sales,5,1,Marketing,Male,1,Research Scientist,Single,27050,1,11,0,2,17,3,3,0
29,4,3,1,44,Travel_Frequently,Research & Development,1,2,Medical,Male,2,Research Scientist,Divorced,103330,3,14,1,2,1,2,3,1
30,4,4,3,38,Travel_Rarely,Sales,2,3,Marketing,Female,1,Manager,Divorced,44480,9,12,0,3,2,2,3,0
31,1,2,3,26,Travel_Rarely,Research & Development,4,3,Medical,Male,3,Research Scientist,Divorced,68540,2,11,0,5,3,2,3,1
32,4,4,3,28,Travel_Rarely,Research & Development,7,3,Other,Male,1,Human Resources,Single,96370,1,13,0,6,5,2,3,0
33,3,1,3,49,Travel_Frequently,Research & Development,1,1,Medical,Female,2,Research Scientist,Single,35910,9,13,0,2,3,3,3,0
34,3,2,3,36,Travel_Rarely,Sales,5,3,Technical Degree,Male,3,Sales Executive,Single,54050,4,14,0,2,8,3,3,0
35,4,2,2,31,Travel_Frequently,Research & Development,9,4,Medical,Male,1,Sales Executive,Divorced,46840,1,16,1,4,2,3,3,0
36,4,4,3,26,Travel_Rarely,Research & Development,8,3,Medical,Male,2,Manager,Single,157870,1,12,2,5,8,3,3,1
37,2,4,2,37,Travel_Frequently,Sales,9,1,Marketing,Male,1,Laboratory Technician,Married,15140,1,14,0,3,4,3,3,0
38,3,2,4,42,Travel_Frequently,Sales,2,2,Marketing,Male,3,Research Director,Married,29560,5,13,0,2,20,3,3,0
39,3,3,3,18,Travel_Rarely,Research & Development,1,4,Life Sciences,Male,1,Sales Executive,Single,23350,1,14,2,3,0,2,3,1
40,3,2,2,35,Travel_Rarely,Sales,20,2,Life Sciences,Male,1,Laboratory Technician,Married,51540,0,19,0,2,11,2,3,0
41,3,3,3,36,Travel_Frequently,Research & Development,8,3,Other,Female,3,Sales Executive,Married,69620,4,12,2,2,1,2,3,0
42,4,2,3,51,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,2,Laboratory Technician,Divorced,56750,5,13,0,2,4,2,3,0
43,4,2,3,41,Travel_Rarely,Research & Development,29,1,Life Sciences,Male,1,Laboratory Technician,Single,23790,1,12,0,6,22,3,3,0
44,4,3,3,18,Travel_Rarely,Sales,7,3,Life Sciences,Male,1,Research Scientist,Single,38120,1,15,0,3,0,3,3,0
45,2,1,3,28,Travel_Rarely,Research & Development,9,3,Medical,Male,1,Sales Representative,Single,46480,0,23,2,2,8,2,4,0
46,2,4,2,31,Travel_Rarely,Research & Development,8,1,Technical Degree,Male,1,Manufacturing Director,Married,29360,4,12,1,2,8,3,3,0
47,3,4,2,39,Travel_Rarely,Sales,5,4,Marketing,Female,2,Human Resources,Divorced,21050,0,20,0,3,18,3,4,0
48,2,2,3,36,Non-Travel,Research & Development,5,4,Life Sciences,Male,1,Sales Executive,Married,85780,7,21,0,4,9,3,4,0
49,4,3,2,32,Travel_Rarely,Sales,2,3,Marketing,Male,2,Laboratory Technician,Married,27060,1,21,1,4,13,3,4,0
50,1,2,3,38,Travel_Rarely,Research & Development,5,2,Life Sciences,Female,3,Research Scientist,Married,63840,3,19,2,4,10,2,3,0
51,4,3,3,58,Non-Travel,Research & Development,2,3,Life Sciences,Male,2,Manufacturing Director,Divorced,39680,2,13,2,3,5,2,3,0
52,3,4,3,31,Travel_Rarely,Research & Development,20,1,Technical Degree,Female,3,Research Scientist,Married,99070,0,13,1,3,5,2,3,0
53,1,1,3,31,Travel_Rarely,Sales,7,4,Marketing,Male,2,Sales Executive,Married,132250,3,21,1,2,2,3,4,0
54,1,1,3,45,Travel_Frequently,Research & Development,3,1,Medical,Female,1,Sales Executive,Divorced,35400,1,13,0,6,24,3,3,0
55,3,4,1,31,Travel_Rarely,Sales,16,4,Marketing,Female,2,Research Scientist,Divorced,28040,0,19,2,0,2,3,3,0
56,4,2,3,33,Travel_Frequently,Research & Development,9,3,Life Sciences,Male,4,Research Director,Married,193920,6,12,1,3,10,3,3,0
57,3,1,3,39,Travel_Rarely,Sales,1,4,Life Sciences,Male,1,Sales Executive,Married,196650,1,22,1,6,21,3,4,0
58,3,4,3,43,Travel_Frequently,Research & Development,7,4,Medical,Male,4,Research Scientist,Single,24390,0,15,0,2,8,3,3,0
59,3,3,3,49,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,3,Manufacturing Director,Single,73140,7,22,0,2,7,3,4,0
60,3,2,2,52,Travel_Rarely,Research & Development,7,1,Life Sciences,Female,2,Research Scientist,Married,47740,2,18,1,2,8,3,3,1
61,3,2,2,27,Travel_Rarely,Research & Development,15,4,Medical,Male,3,Research Scientist,Single,39020,1,22,0,2,4,3,4,0
62,3,2,3,32,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,3,Research Scientist,Married,26620,1,11,1,6,13,4,3,0
63,4,3,3,27,Travel_Rarely,Research & Development,13,2,Medical,Female,4,Research Director,Single,28560,1,12,2,5,5,4,3,0
64,4,4,3,31,Travel_Rarely,Sales,24,3,Life Sciences,Male,2,Healthcare Representative,Divorced,10810,4,11,3,4,7,4,3,0
65,1,4,2,32,Travel_Rarely,Research & Development,7,3,Technical Degree,Male,2,Healthcare Representative,Single,24720,7,13,0,2,7,3,3,0
66,1,4,2,28,Travel_Rarely,Research & Development,9,4,Medical,Male,1,Sales Executive,Married,56730,5,14,1,4,3,2,3,1
67,4,4,3,30,Travel_Rarely,Research & Development,13,3,Life Sciences,Female,4,Research Director,Married,41970,1,13,0,3,10,3,3,0
68,3,3,3,31,Travel_Frequently,Research & Development,2,1,Life Sciences,Female,1,Manager,Married,97130,1,17,0,5,10,2,3,0
69,3,4,3,39,Travel_Frequently,Research & Development,19,4,Medical,Female,1,Research Scientist,Married,20620,1,13,0,4,21,3,3,0
71,2,4,2,33,Travel_Frequently,Sales,4,2,Life Sciences,Male,4,Research Scientist,Single,47880,3,11,1,0,7,3,3,0
72,4,3,3,47,Travel_Rarely,Research & Development,4,3,Life Sciences,Female,2,Healthcare Representative,Married,59060,4,23,0,4,3,4,4,0
73,3,3,4,43,Travel_Frequently,Research & Development,14,3,Medical,Female,5,Research Director,Divorced,38860,1,17,2,2,9,3,3,0
74,3,2,3,27,Non-Travel,Research & Development,2,3,Life Sciences,Male,1,Research Director,Married,168230,0,17,0,3,5,3,3,0
75,4,3,2,54,Travel_Frequently,Research & Development,1,4,Life Sciences,Male,2,Research Scientist,Single,29330,3,12,2,2,4,3,3,0
76,3,1,2,43,Travel_Rarely,Research & Development,7,2,Life Sciences,Female,2,Manager,Married,65000,8,23,0,3,1,3,4,0
77,4,4,3,45,Travel_Rarely,Sales,3,1,Marketing,Female,1,Sales Executive,Married,171740,9,14,1,6,10,3,3,0
78,2,4,2,40,Travel_Rarely,Research & Development,2,4,Other,Male,4,Research Scientist,Married,50330,2,14,2,6,4,3,3,0
79,2,1,2,29,Travel_Rarely,Research & Development,29,3,Medical,Female,1,Research Scientist,Married,23070,1,13,1,0,7,3,3,1
80,2,4,3,29,Travel_Rarely,Human Resources,8,3,Medical,Male,3,Sales Representative,Single,25870,0,22,2,3,3,3,4,0
81,4,3,3,30,Travel_Rarely,Research & Development,10,3,Life Sciences,Male,2,Research Scientist,Divorced,55070,1,12,2,2,10,2,3,0
82,2,2,3,27,Travel_Rarely,Research & Development,11,2,Medical,Male,1,Manager,Married,43930,1,18,1,2,8,2,3,0
83,4,4,2,37,Travel_Rarely,Sales,1,4,Life Sciences,Male,2,Healthcare Representative,Divorced,133480,7,14,0,4,6,3,3,0
84,3,4,3,38,Travel_Rarely,Research & Development,28,4,Medical,Male,1,Laboratory Technician,Divorced,65830,0,12,0,1,11,3,3,0
85,3,4,3,31,Travel_Rarely,Research & Development,6,3,Medical,Female,3,Manager,Single,81030,1,15,1,5,11,3,3,0
86,4,2,3,29,Travel_Rarely,Research & Development,3,4,Life Sciences,Male,3,Sales Executive,Divorced,39780,1,11,0,0,7,3,3,0
87,3,2,3,35,Travel_Rarely,Sales,16,2,Technical Degree,Male,3,Manager,Single,25440,0,13,1,3,16,4,3,0
88,3,4,2,23,Travel_Rarely,Research & Development,20,4,Life Sciences,Male,1,Manufacturing Director,Divorced,53990,1,23,0,2,4,2,4,0
89,4,2,3,41,Travel_Rarely,Research & Development,9,2,Life Sciences,Female,1,Laboratory Technician,Single,54870,6,19,2,0,5,3,3,0
90,2,3,3,47,Travel_Frequently,Sales,1,3,Medical,Female,2,Laboratory Technician,Single,68340,3,16,1,2,0,4,3,0
91,1,4,3,42,Travel_Rarely,Research & Development,3,4,Life Sciences,Male,1,Manager,Single,10910,2,22,0,0,1,1,4,0
92,4,3,2,29,Non-Travel,Sales,22,4,Marketing,Male,2,Human Resources,Married,57360,1,22,0,1,4,2,4,0
93,3,3,3,42,Travel_Rarely,Sales,7,4,Medical,Male,3,Research Scientist,Divorced,22260,0,12,1,3,3,2,3,0
94,3,2,3,32,Travel_Rarely,Research & Development,2,3,Medical,Male,2,Research Scientist,Married,57470,1,13,0,0,8,3,3,0
95,1,3,1,48,Travel_Rarely,Sales,13,4,Medical,Male,4,Sales Executive,Married,98540,3,16,1,2,0,2,3,0
96,3,1,3,37,Travel_Rarely,Research & Development,8,5,Technical Degree,Male,2,Manufacturing Director,Divorced,54670,4,12,0,2,7,3,3,0
97,4,3,4,30,Non-Travel,Sales,25,4,Other,Male,1,Healthcare Representative,Married,53800,7,21,1,0,2,3,4,0
98,3,3,3,26,Travel_Rarely,Sales,28,3,Medical,Female,5,Laboratory Technician,Married,51510,1,15,3,3,8,3,3,0
99,1,4,3,42,Travel_Rarely,Sales,2,2,Medical,Female,1,Laboratory Technician,Single,21330,3,13,2,2,1,3,3,0
100,1,2,3,21,Travel_Frequently,Research & Development,9,3,Medical,Female,4,Manufacturing Director,Single,178750,1,12,0,5,3,2,3,1
101,4,4,3,36,Non-Travel,Human Resources,28,3,Human Resources,Male,2,Laboratory Technician,Single,24320,4,22,0,4,1,1,4,0
102,1,4,3,36,Travel_Frequently,Research & Development,6,3,Life Sciences,Female,2,Research Scientist,Married,47710,4,13,1,2,13,3,3,0
103,4,3,3,57,Travel_Rarely,Research & Development,21,4,Life Sciences,Male,5,Research Scientist,Married,191610,2,18,0,2,3,1,3,0
104,4,3,3,40,Travel_Rarely,Research & Development,8,3,Other,Male,2,Sales Executive,Married,50870,3,14,1,3,7,3,3,0
105,1,4,2,21,Non-Travel,Research & Development,1,5,Life Sciences,Female,2,Manager,Single,28630,1,14,0,2,3,1,3,0
106,4,3,3,33,Travel_Rarely,Human Resources,28,2,Human Resources,Female,5,Manager,Single,55610,1,21,1,3,1,1,4,1
107,3,1,3,37,Travel_Rarely,Research & Development,5,3,Life Sciences,Male,4,Research Scientist,Married,21440,6,19,0,3,5,4,3,0
108,3,3,4,46,Non-Travel,Sales,2,4,Marketing,Female,2,Laboratory Technician,Married,30650,2,11,0,3,1,3,3,0
109,1,2,3,41,Travel_Frequently,Research & Development,16,1,Medical,Female,1,Research Scientist,Single,28100,1,11,0,3,8,4,3,1
110,4,4,3,50,Travel_Rarely,Research & Development,9,3,Medical,Female,3,Laboratory Technician,Single,98880,6,15,0,2,4,3,3,0
111,3,3,3,40,Travel_Rarely,Research & Development,8,3,Medical,Female,1,Healthcare Representative,Married,86280,2,20,0,2,6,2,4,1
112,3,2,3,31,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,4,Human Resources,Single,28670,0,24,0,5,2,3,4,0
113,3,2,3,21,Travel_Rarely,Human Resources,10,2,Human Resources,Male,1,Laboratory Technician,Single,53730,1,12,1,2,1,3,3,1
114,4,4,3,29,Travel_Rarely,Research & Development,1,3,Life Sciences,Female,2,Research Director,Single,66670,9,12,1,6,3,4,3,0
115,3,2,3,35,Travel_Rarely,Research & Development,29,3,Life Sciences,Female,3,Sales Executive,Single,50030,9,15,0,2,1,3,3,0
116,4,2,3,27,Travel_Rarely,Sales,2,3,Life Sciences,Male,1,Sales Executive,Divorced,23670,1,12,1,2,5,3,3,0
117,2,4,3,28,Travel_Rarely,Research & Development,2,2,Medical,Male,3,Manager,Single,28580,1,12,0,2,7,2,3,0
118,2,3,3,49,Travel_Rarely,Sales,2,3,Technical Degree,Male,2,Manufacturing Director,Single,52040,8,14,1,3,5,3,3,0
119,3,4,2,51,Travel_Rarely,Research & Development,1,2,Life Sciences,Male,1,Sales Executive,Married,41050,4,22,1,2,7,3,4,0
120,4,3,3,36,Travel_Rarely,Sales,15,2,Life Sciences,Male,1,Sales Executive,Married,96790,4,12,0,1,2,3,3,0
122,3,4,3,55,Travel_Rarely,Sales,26,3,Marketing,Male,1,Laboratory Technician,Single,104480,2,13,0,3,5,3,3,0
123,4,3,4,24,Travel_Rarely,Research & Development,1,3,Life Sciences,Female,5,Manager,Divorced,28970,1,18,3,4,5,3,3,0
124,3,2,3,30,Travel_Rarely,Research & Development,3,3,Life Sciences,Female,2,Manager,Married,59680,1,13,0,3,1,3,3,0
125,3,3,3,26,Travel_Frequently,Sales,14,3,Life Sciences,Male,2,Manager,Single,75100,0,18,3,3,6,3,3,1
126,1,2,3,22,Travel_Rarely,Research & Development,16,5,Other,Male,1,Research Scientist,Married,29910,1,19,2,3,2,2,3,0
127,2,3,3,36,Travel_Rarely,Research & Development,1,3,Medical,Female,5,Healthcare Representative,Married,196360,1,12,1,3,10,3,3,0
128,3,4,3,30,Travel_Frequently,Sales,3,2,Marketing,Male,3,Research Scientist,Single,11290,9,19,0,2,1,2,3,1
129,4,1,2,37,Travel_Rarely,Research & Development,10,1,Technical Degree,Male,1,Sales Executive,Divorced,133410,1,14,1,3,18,3,3,0
130,4,2,3,40,Travel_Rarely,Research & Development,6,2,Medical,Male,3,Research Scientist,Divorced,43320,7,14,2,3,5,2,3,0
131,2,1,3,42,Travel_Rarely,Research & Development,2,3,Medical,Female,4,Manager,Divorced,110310,3,12,1,2,5,2,3,0
132,3,2,2,37,Travel_Rarely,Sales,9,1,Marketing,Male,3,Sales Executive,Single,44400,2,11,1,3,1,2,3,0
133,1,2,3,43,Travel_Rarely,Sales,10,2,Life Sciences,Female,1,Sales Executive,Divorced,46170,1,11,0,2,25,3,3,0
134,2,3,3,40,Travel_Rarely,Sales,6,2,Life Sciences,Female,1,Laboratory Technician,Married,26470,6,13,0,2,1,2,3,0
135,1,1,2,54,Travel_Rarely,Human Resources,9,3,Life Sciences,Female,2,Manufacturing Director,Married,63230,4,23,1,2,4,2,4,0
136,3,3,3,34,Non-Travel,Research & Development,28,3,Medical,Male,1,Laboratory Technician,Married,56770,9,20,1,3,3,3,4,0
137,2,1,1,31,Travel_Rarely,Research & Development,10,4,Life Sciences,Male,3,Sales Executive,Married,21870,1,15,1,2,13,2,3,0
138,4,4,3,43,Travel_Frequently,Sales,14,3,Life Sciences,Female,1,Manufacturing Director,Married,37480,7,14,2,3,3,2,3,0
139,3,3,3,43,Travel_Rarely,Sales,27,4,Life Sciences,Male,2,Sales Representative,Divorced,39770,4,18,1,3,5,3,3,0
140,2,4,3,25,Travel_Rarely,Human Resources,7,2,Human Resources,Male,1,Manufacturing Director,Single,86330,1,19,1,2,5,4,3,0
141,2,3,3,37,Non-Travel,Research & Development,1,3,Medical,Male,3,Laboratory Technician,Married,20080,3,22,0,5,13,2,4,0
142,4,1,3,31,Travel_Rarely,Research & Development,24,1,Medical,Male,3,Laboratory Technician,Married,44400,1,13,1,2,4,3,3,0
143,2,3,3,39,Travel_Frequently,Research & Development,26,4,Technical Degree,Female,1,Sales Executive,Divorced,30670,1,20,1,5,21,1,4,0
144,3,1,2,56,Travel_Frequently,Research & Development,20,4,Life Sciences,Female,3,Sales Executive,Married,53210,9,14,0,1,7,3,3,0
145,2,3,3,30,Travel_Rarely,Sales,5,4,Medical,Female,2,Manufacturing Director,Single,54100,0,17,1,2,5,3,3,0
146,2,1,3,41,Travel_Rarely,Research & Development,7,3,Technical Degree,Female,3,Research Scientist,Married,27820,1,14,0,2,10,2,3,0
147,3,1,3,28,Travel_Rarely,Research & Development,7,3,Medical,Male,3,Healthcare Representative,Divorced,119570,1,13,0,2,10,2,3,0
148,1,1,3,25,Travel_Rarely,Research & Development,5,2,Life Sciences,Female,3,Laboratory Technician,Married,26600,5,13,0,3,2,3,3,1
149,4,3,3,52,Travel_Rarely,Research & Development,26,2,Life Sciences,Female,2,Sales Representative,Married,33750,2,21,0,2,5,2,4,0
150,1,4,2,45,Travel_Rarely,Research & Development,2,3,Medical,Female,1,Sales Executive,Married,50980,3,14,1,4,2,3,3,0
151,4,4,1,52,Travel_Rarely,Research & Development,12,3,Medical,Male,2,Research Scientist,Married,48780,2,11,1,3,5,3,3,0
152,1,3,3,42,Travel_Frequently,Sales,10,3,Marketing,Female,2,Healthcare Representative,Divorced,28370,2,13,1,0,5,2,3,0
153,3,4,3,30,Travel_Rarely,Sales,25,3,Marketing,Male,1,Sales Executive,Single,24060,2,20,1,5,5,3,4,0
154,1,1,1,60,Travel_Rarely,Research & Development,10,3,Life Sciences,Female,1,Manufacturing Director,Married,22690,5,18,1,4,29,3,3,0
155,3,3,2,46,Travel_Rarely,Sales,19,4,Marketing,Female,1,Sales Executive,Divorced,41080,2,14,0,5,10,2,3,0
156,4,4,4,42,Travel_Frequently,Research & Development,18,4,Technical Degree,Male,4,Sales Executive,Married,132060,0,13,2,2,6,3,3,0
157,1,2,3,24,Travel_Rarely,Research & Development,27,2,Medical,Male,1,Research Scientist,Single,104220,1,17,1,0,5,2,3,1
158,4,3,2,34,Travel_Frequently,Research & Development,5,3,Medical,Male,2,Research Scientist,Divorced,137440,0,20,1,3,2,3,4,1
159,4,4,3,38,Travel_Frequently,Sales,3,3,Marketing,Female,2,Sales Executive,Married,49070,1,11,1,3,1,3,3,0
160,3,3,3,40,Travel_Rarely,Sales,26,4,Marketing,Female,1,Sales Executive,Married,34820,0,18,1,2,20,2,3,0
161,1,4,1,26,Travel_Rarely,Research & Development,3,2,Medical,Female,4,Healthcare Representative,Divorced,24360,1,24,0,2,3,4,4,0
162,3,4,1,30,Non-Travel,Research & Development,15,3,Medical,Female,2,Sales Executive,Married,23800,4,18,3,2,5,2,3,0
163,2,3,3,29,Travel_Rarely,Research & Development,8,3,Medical,Female,3,Manufacturing Director,Married,194310,1,11,0,3,10,3,3,0
164,3,2,4,29,Travel_Rarely,Research & Development,19,4,Life Sciences,Male,3,Research Scientist,Married,17900,5,16,1,4,2,2,3,1
166,3,1,3,30,Non-Travel,Research & Development,2,4,Life Sciences,Female,3,Research Scientist,Married,51310,0,15,1,2,9,3,3,0
167,1,4,2,57,Travel_Rarely,Research & Development,2,2,Life Sciences,Male,4,Research Scientist,Divorced,63060,3,12,1,3,1,3,3,0
168,2,3,3,50,Travel_Rarely,Sales,10,4,Life Sciences,Female,3,Manager,Married,47870,0,12,0,3,27,3,3,0
169,3,4,2,30,Non-Travel,Sales,10,2,Life Sciences,Male,3,Laboratory Technician,Single,188800,0,22,1,3,11,3,4,0
170,3,1,4,60,Travel_Frequently,Research & Development,16,3,Life Sciences,Female,4,Laboratory Technician,Married,23390,4,20,0,4,18,3,4,0
171,1,4,3,47,Travel_Rarely,Research & Development,1,3,Technical Degree,Male,5,Manufacturing Director,Divorced,135700,5,16,2,2,5,2,3,0
172,1,3,1,46,Travel_Rarely,Sales,4,1,Technical Degree,Male,1,Laboratory Technician,Married,67120,6,21,1,3,3,2,4,0
173,4,3,3,35,Travel_Rarely,Research & Development,15,2,Medical,Female,2,Laboratory Technician,Single,54060,0,12,1,2,5,3,3,0
174,3,3,3,54,Travel_Rarely,Research & Development,2,4,Medical,Male,2,Human Resources,Single,89380,7,11,3,2,1,3,3,0
175,4,3,3,34,Travel_Rarely,Sales,8,2,Life Sciences,Male,1,Laboratory Technician,Divorced,24390,3,11,2,2,7,4,3,0
176,3,4,3,46,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,1,Healthcare Representative,Married,88370,2,18,0,3,3,2,3,0
177,3,2,4,31,Travel_Rarely,Research & Development,7,3,Life Sciences,Male,2,Research Director,Divorced,53430,1,14,1,3,13,3,3,0
178,2,3,4,33,Travel_Rarely,Research & Development,10,3,Life Sciences,Female,4,Research Director,Married,67280,7,22,0,2,7,2,4,1
179,1,4,3,33,Travel_Rarely,Sales,5,4,Marketing,Male,2,Research Director,Divorced,66520,7,25,0,5,4,3,4,1
180,4,2,3,30,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,1,Sales Executive,Single,48500,0,12,1,4,3,3,3,0
181,4,3,3,35,Travel_Rarely,Research & Development,12,2,Medical,Female,2,Sales Representative,Married,28090,4,23,1,2,8,1,4,0
182,1,3,3,31,Travel_Frequently,Research & Development,22,2,Medical,Female,2,Sales Executive,Married,56890,3,15,2,2,1,2,3,1
184,2,3,3,42,Travel_Frequently,Research & Development,2,4,Medical,Female,1,Research Scientist,Married,29770,4,15,3,3,2,2,3,0
185,2,4,2,36,Non-Travel,Research & Development,3,4,Medical,Male,1,Research Scientist,Single,40250,1,11,0,3,10,3,3,0
186,3,3,3,22,Travel_Frequently,Research & Development,7,3,Medical,Female,2,Laboratory Technician,Single,37850,5,13,2,2,2,3,3,1
187,2,4,3,48,Travel_Rarely,Research & Development,6,3,Medical,Male,1,Laboratory Technician,Married,108540,2,14,1,6,9,3,3,0
188,1,2,3,55,Travel_Rarely,Research & Development,1,3,Medical,Female,1,Sales Executive,Single,120310,3,11,0,5,10,3,3,0
189,4,4,3,41,Non-Travel,Research & Development,3,2,Life Sciences,Female,2,Research Scientist,Single,99360,7,17,1,2,14,2,3,0
190,2,3,3,35,Travel_Rarely,Research & Development,22,3,Medical,Female,1,Sales Representative,Married,29660,9,18,0,2,11,2,3,0
191,2,3,3,40,Travel_Rarely,Research & Development,15,3,Life Sciences,Female,2,Laboratory Technician,Single,25710,7,14,0,1,20,3,3,0
192,3,3,3,39,Travel_Frequently,Research & Development,12,1,Medical,Male,1,Research Scientist,Married,99910,1,16,1,3,8,3,3,0
193,2,4,4,31,Travel_Rarely,Research & Development,1,4,Life Sciences,Male,3,Research Director,Single,61420,4,13,2,2,6,2,3,0
194,4,1,2,42,Travel_Rarely,Research & Development,5,3,Medical,Male,3,Sales Executive,Married,53900,1,14,0,3,10,3,3,0
195,4,2,4,45,Travel_Rarely,Research & Development,2,1,Medical,Female,4,Sales Executive,Married,44040,0,23,0,2,8,3,4,0
196,3,3,2,26,Travel_Frequently,Research & Development,2,1,Life Sciences,Female,2,Laboratory Technician,Divorced,59930,0,12,0,3,7,3,3,1
197,4,4,4,29,Travel_Rarely,Research & Development,5,3,Medical,Male,1,Research Scientist,Divorced,51300,4,11,0,3,3,2,3,0
198,1,3,3,33,Travel_Rarely,Research & Development,16,3,Medical,Female,1,Laboratory Technician,Divorced,20900,4,16,0,2,6,3,3,0
199,3,4,2,31,Travel_Rarely,Research & Development,2,4,Life Sciences,Female,1,Sales Executive,Divorced,29090,9,14,2,2,5,3,3,0
200,2,2,3,18,Travel_Frequently,Research & Development,2,3,Technical Degree,Male,1,Sales Executive,Single,34680,1,18,2,4,0,4,3,1
201,3,1,3,40,Non-Travel,Research & Development,1,4,Technical Degree,Female,2,Laboratory Technician,Divorced,30680,3,19,0,3,1,2,3,0
202,1,3,3,41,Non-Travel,Research & Development,23,3,Life Sciences,Male,2,Manufacturing Director,Single,26700,2,15,2,2,8,2,3,0
203,1,3,3,26,Travel_Rarely,Research & Development,9,4,Medical,Male,3,Healthcare Representative,Divorced,26930,5,17,3,3,0,2,3,0
